first_contact_date,proposal_date,follow_up_count,deal_size,closure_date,proposal_delay_days,closure_duration_days,follow_up_frequency,closure_category
2024-05-01,2024-05-07,8,23110258,2024-11-22,6,205,0.03902439024390244,Slow
2024-03-19,2024-03-26,8,86558929,2024-08-22,7,156,0.05128205128205128,Slow
2023-08-18,2023-09-07,3,81854364,2023-11-07,20,81,0.037037037037037035,Medium
2023-11-12,2023-11-19,2,80870413,2024-09-23,7,316,0.006329113924050633,Slow
2023-08-01,2023-08-16,3,45939261,2024-08-29,15,394,0.007614213197969543,Slow
2023-10-07,2023-10-12,4,2708173,2023-10-15,5,8,0.5,Fast
2023-04-13,2023-05-02,2,76922667,2023-11-14,19,215,0.009302325581395349,Slow
2024-01-04,2024-01-06,5,55211370,2024-04-26,2,113,0.04424778761061947,Medium
2023-07-23,2023-07-28,3,75842986,2024-06-14,5,327,0.009174311926605505,Slow
2024-02-18,2024-03-03,2,511640,2024-08-25,14,189,0.010582010582010581,Slow
2023-05-26,2023-05-29,7,42897204,2023-08-13,3,79,0.08860759493670886,Medium
2023-07-29,2023-08-11,2,94048111,2023-09-03,13,36,0.05555555555555555,Medium
2024-07-20,2024-07-30,5,17271733,2025-08-18,10,394,0.012690355329949238,Slow
2023-02-03,2023-02-15,12,99737956,2023-03-06,12,31,0.3870967741935484,Medium
2023-04-21,2023-05-11,5,73216802,2023-10-04,20,166,0.030120481927710843,Slow
2023-04-19,2023-05-05,6,40620005,2023-09-11,16,145,0.041379310344827586,Slow
2024-02-26,2024-03-02,12,77395542,2024-07-07,5,132,0.09090909090909091,Slow
2024-06-25,2024-07-13,6,87180689,2025-02-11,18,231,0.025974025974025976,Slow
2023-12-25,2024-01-13,11,76621352,2024-03-06,19,72,0.1527777777777778,Medium
2023-03-03,2023-03-18,8,54403517,2023-12-13,15,285,0.028070175438596492,Slow
2023-09-23,2023-10-04,5,37695656,2023-12-21,11,89,0.056179775280898875,Medium
2023-05-19,2023-05-25,1,27316458,2024-02-21,6,278,0.0035971223021582736,Slow
2023-08-05,2023-08-08,11,36300127,2024-02-29,3,208,0.052884615384615384,Slow
2024-04-19,2024-05-07,7,94060300,2025-04-02,18,348,0.020114942528735632,Slow
2023-08-03,2023-08-22,7,51052836,2024-04-10,19,251,0.027888446215139442,Slow
2023-04-11,2023-04-18,8,35020444,2024-03-02,7,326,0.024539877300613498,Slow
2023-10-04,2023-10-22,2,32570423,2023-10-14,18,10,0.2,Fast
2024-08-04,2024-08-23,7,39865151,2025-04-29,19,268,0.026119402985074626,Slow
2024-01-22,2024-01-27,3,51434506,2024-06-23,5,153,0.0196078431372549,Slow
2023-07-23,2023-07-28,2,12068213,2024-07-17,5,360,0.005555555555555556,Slow
2023-11-20,2023-12-09,9,15963057,2023-12-20,19,30,0.3,Medium
2023-06-21,2023-07-04,6,61263994,2023-08-21,13,61,0.09836065573770492,Medium
2023-06-26,2023-07-16,9,21817484,2024-05-25,20,334,0.02694610778443114,Slow
2023-04-30,2023-05-11,1,13259062,2023-10-15,11,168,0.005952380952380952,Slow
2023-12-08,2023-12-16,11,55329157,2024-06-17,8,192,0.057291666666666664,Slow
2024-06-26,2024-07-02,4,10910300,2024-10-05,6,101,0.039603960396039604,Medium
2023-04-05,2023-04-09,11,53031679,2023-12-25,4,264,0.041666666666666664,Slow
2023-02-04,2023-02-16,9,66989625,2023-07-30,12,176,0.05113636363636364,Slow
2023-08-23,2023-08-28,12,41161934,2024-09-10,5,384,0.03125,Slow
2023-04-23,2023-05-10,1,42112721,2024-02-07,17,290,0.0034482758620689655,Slow
2023-03-19,2023-03-22,12,7826324,2023-07-24,3,127,0.09448818897637795,Slow
2023-01-20,2023-01-22,12,42135699,2023-02-28,2,39,0.3076923076923077,Medium
2023-11-18,2023-11-30,8,35718799,2024-11-05,12,353,0.0226628895184136,Slow
2023-03-31,2023-04-11,6,84981246,2023-12-09,11,253,0.023715415019762844,Slow
2023-08-31,2023-09-20,10,98331469,2024-07-21,20,325,0.03076923076923077,Slow
2023-06-19,2023-07-08,12,67201490,2024-03-24,19,279,0.043010752688172046,Slow
2023-09-21,2023-09-27,6,22264079,2024-10-07,6,382,0.015706806282722512,Slow
2023-01-03,2023-01-05,8,47452411,2023-07-14,2,192,0.041666666666666664,Slow
2023-08-21,2023-09-06,5,98289817,2023-12-22,16,123,0.04065040650406504,Slow
2024-07-01,2024-07-10,6,75116183,2024-09-18,9,79,0.0759493670886076,Medium
2023-04-22,2023-05-07,6,63956873,2023-12-05,15,227,0.02643171806167401,Slow
2023-04-24,2023-05-01,1,16451165,2023-08-15,7,113,0.008849557522123894,Medium
2024-03-25,2024-04-06,10,93972430,2025-01-30,12,311,0.03215434083601286,Slow
2024-04-16,2024-04-19,5,59700404,2024-05-03,3,17,0.29411764705882354,Fast
2024-04-08,2024-04-15,8,9239193,2024-06-27,7,80,0.1,Medium
2023-11-16,2023-11-19,11,91822827,2024-01-10,3,55,0.2,Medium
2024-06-26,2024-06-30,12,16991130,2025-01-05,4,193,0.06217616580310881,Slow
2023-05-21,2023-05-25,12,43403744,2023-11-14,4,177,0.06779661016949153,Slow
2023-08-31,2023-09-14,7,37667097,2024-04-21,14,234,0.029914529914529916,Slow
2024-08-11,2024-08-18,12,31120643,2024-08-21,7,10,1.2,Fast
2024-03-10,2024-03-28,3,95726914,2024-08-02,18,145,0.020689655172413793,Slow
2024-01-07,2024-01-11,8,33369482,2025-01-05,4,364,0.02197802197802198,Slow
2023-06-04,2023-06-22,9,76798249,2023-11-27,18,176,0.05113636363636364,Slow
2023-01-18,2023-01-26,9,71069165,2023-06-02,8,135,0.06666666666666667,Slow
2024-07-12,2024-07-19,8,30653178,2024-09-11,7,61,0.13114754098360656,Medium
2023-05-02,2023-05-15,1,58832630,2023-06-16,13,45,0.022222222222222223,Medium
2023-06-20,2023-07-04,8,87534103,2024-04-09,14,294,0.027210884353741496,Slow
2024-02-26,2024-02-27,9,38958598,2024-12-09,1,287,0.0313588850174216,Slow
2023-12-30,2024-01-16,12,31075989,2024-07-15,17,198,0.06060606060606061,Slow
2024-07-07,2024-07-10,8,72550834,2024-09-21,3,76,0.10526315789473684,Medium
2023-10-06,2023-10-21,12,96344090,2024-01-10,15,96,0.125,Medium
2024-03-10,2024-03-17,7,14752180,2025-03-23,7,378,0.018518518518518517,Slow
