first_contact_date,proposal_date,follow_up_count,deal_size,closure_date,proposal_delay_days,closure_duration_days
2024-04-12,2024-04-21,5,67524000,2025-04-21,9,374
2025-03-11,2025-03-24,4,151961000,2026-03-24,13,378
2024-09-27,2024-09-29,10,114903000,2025-09-29,2,367
2024-04-16,2024-04-26,5,48983000,2025-04-26,10,375
2024-03-12,2024-03-17,4,34809000,2025-03-17,5,370
2025-12-01,2025-12-05,2,98388000,2026-12-05,4,369
2024-01-21,2024-02-03,7,34826000,2025-02-02,13,378
2025-09-06,2025-09-08,5,47341000,2026-09-08,2,367
2024-05-01,2024-05-04,8,383283000,2025-05-04,3,368
2025-04-11,2025-04-12,6,161082000,2026-04-12,1,366
2024-08-02,2024-08-09,4,42446000,2025-08-09,7,372
2024-11-26,2024-12-09,4,84803000,2025-12-09,13,378
2025-04-03,2025-04-09,7,175492000,2026-04-09,6,371
2024-03-28,2024-04-14,2,71274000,2025-04-14,17,382
2025-01-07,2025-01-17,2,20485000,2025-10-05,10,271
2024-04-09,2024-04-20,5,64561000,2025-04-20,11,376
2025-10-25,2025-10-31,6,40872000,2026-10-31,6,371
2024-05-10,2024-05-12,6,41566000,2025-05-12,2,367
2025-10-23,2025-10-28,3,28704000,2026-07-22,5,272
2024-11-04,2024-11-16,13,20333000,2025-07-19,12,257
2024-12-09,2024-12-13,6,31166000,2025-08-24,4,258
2025-05-06,2025-05-15,4,90306000,2026-05-15,9,374
2025-02-17,2025-02-19,7,108490000,2026-02-19,2,367
2025-01-20,2025-01-29,4,270377000,2026-01-29,9,374
2024-07-10,2024-07-15,9,33452000,2025-07-04,5,359
2024-10-03,2024-10-07,4,26330000,2025-10-07,4,369
2024-06-09,2024-06-14,4,100075000,2025-06-14,5,370
2025-04-04,2025-04-12,8,15120000,2025-11-07,8,217
2024-11-09,2024-11-20,4,10025000,2025-11-20,11,376
2024-01-22,2024-01-25,7,96929000,2025-01-24,3,368
2024-09-09,2024-09-12,4,23607000,2025-07-06,3,300
2025-07-14,2025-07-22,2,28538000,2026-07-05,8,356
2025-04-19,2025-05-11,5,82209000,2026-05-11,22,387
2024-02-28,2024-03-18,4,52373000,2025-03-18,19,384
2025-05-25,2025-06-06,5,39840000,2026-06-06,12,377
2025-11-12,2025-11-26,2,17455000,2026-11-26,14,379
2025-04-20,2025-04-22,4,32036000,2026-04-22,2,367
2025-11-30,2025-12-02,3,33244000,2026-12-02,2,367
2024-07-08,2024-07-10,4,35629000,2025-07-10,2,367
2025-11-17,2025-11-19,6,80145000,2026-11-19,2,367
2025-07-16,2025-07-24,9,64061000,2026-07-24,8,373
2025-07-20,2025-07-25,6,41581000,2026-07-25,5,370
2024-08-31,2024-09-09,8,54754000,2025-09-09,9,374
2025-05-19,2025-06-01,4,206511000,2026-06-01,13,378
2024-05-10,2024-05-16,5,66159000,2025-05-16,6,371
2025-04-29,2025-05-04,5,157826000,2026-05-04,5,370
2025-10-08,2025-10-25,6,31353000,2026-07-06,17,271
2024-01-21,2024-01-24,3,42051000,2025-01-23,3,368
2024-06-15,2024-06-16,2,38021000,2025-06-16,1,366
2024-09-30,2024-10-07,2,67334000,2025-10-07,7,372
2025-01-22,2025-01-25,5,72478000,2026-01-25,3,368
2025-08-23,2025-08-29,3,76335000,2026-08-29,6,371
2024-11-11,2024-11-13,4,7567000,2025-07-11,2,242
2024-01-14,2024-01-22,10,24146000,2024-10-21,8,281
2024-08-29,2024-09-03,4,60476000,2025-09-03,5,370
2024-12-11,2024-12-16,6,218612000,2025-12-16,5,370
2025-07-18,2025-07-27,7,32768000,2026-07-27,9,374
2024-12-05,2024-12-18,7,291993000,2025-12-18,13,378
2024-04-01,2024-04-17,6,16886000,2025-03-13,16,346
2025-01-01,2025-01-10,3,59632000,2026-01-10,9,374
2025-03-30,2025-04-04,1,43124000,2026-04-04,5,370
2025-03-03,2025-03-08,6,33009000,2026-03-08,5,370
2025-05-23,2025-06-02,6,100839000,2026-06-02,10,375
2024-02-04,2024-02-06,5,46136000,2024-12-10,2,310
2024-07-24,2024-07-26,5,14699000,2025-01-20,2,180
2024-03-21,2024-03-22,3,10212000,2024-07-05,1,106
2025-07-15,2025-07-26,7,20974000,2026-01-05,11,174
2025-01-22,2025-02-05,9,81323000,2026-02-05,14,379
2024-01-02,2024-01-11,2,41720000,2024-12-10,9,343
2025-01-24,2025-01-25,10,112215000,2026-01-25,1,366
2025-07-19,2025-07-27,6,43556000,2026-07-27,8,373
2024-04-15,2024-04-19,6,61243000,2025-04-19,4,369
2025-04-21,2025-04-28,4,164073000,2026-04-28,7,372
2025-12-03,2025-12-19,5,42216000,2026-12-19,16,381
2025-02-05,2025-02-07,5,234974000,2026-02-07,2,367
2025-12-30,2026-01-08,8,84421000,2027-01-08,9,374
